,title,budget,genres,id,keywords,overview,popularity,vote_average,vote_count,cast,director,executive_producer,writer,original_music_composer,director_photography,production_country,production_company,languages
43,"4 Months, 3 Weeks and 2 Days",852510,Drama,2009,rape hotel room totalitarian regime cohabitant female friendship,"Gabita is pregnant, abortion is strictly forbidden in Romania during the communist regime. Despite this it is common practice and Gabita wants an abortion. The movie follows her and her friend Otilia during the day she has made the appointment with Mr. Bebe to have the abortion.",9.270133,7.3,156,Anamaria Marinca Laura Vasiliu Vlad Ivanov Alexandru Potocean Lumini\u021ba Gheorghiu,Cristian Mungiu,,,,['Oleg Mutu'],"['Belgium', 'Romania']","['Centrul National al Cinematografiei (CNC)', 'Saga Film', 'Mobra Films', 'Hubert Bals Fund of the Rotterdam Festival, The', 'Televiziunea Romana (TVR1)', 'McCann-Erickson', 'Mindshare Media']",['Română']
44,(500) Days of Summer,7500000,Comedy Drama Romance,19913,date sex jealousy fight architect,"Tom (Joseph Gordon-Levitt), greeting-card writer and hopeless romantic, is caught completely off-guard when his girlfriend, Summer (Zooey Deschanel), suddenly dumps him. He reflects on their 500 days together to try to figure out where their love affair went sour, and in doing so, Tom rediscovers his true passions in life.",45.610993,7.2,2904,Joseph Gordon-Levitt Zooey Deschanel Chlo\u00eb Grace Moretz Geoffrey Arend Matthew Gray Gubler,Marc Webb,,,"['Mychael Danna', 'Rob Simonsen']",['Eric Steelberg'],['United States of America'],"['Fox Searchlight Pictures', 'Watermark', 'Dune Entertainment III']","['svenska', 'Français', 'English']"
45,50/50,8000000,Comedy Drama,40807,painter father son relationship therapist cancer psychologist,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis, and his subsequent struggle to beat the disease.",33.372828000000005,7.0,1261,Joseph Gordon-Levitt Seth Rogen Anna Kendrick Bryce Dallas Howard Anjelica Huston,Jonathan Levine,"['Nathan Kahane', 'Will Reiser']",['Will Reiser'],['Michael Giacchino'],['Terry Stacey'],['United States of America'],"['Mandate Pictures', 'Summit Entertainment']",['English']
46,50 First Dates,75000000,Comedy Romance,1824,deja vu amnesia hawaii ladykiller romantic comedy,"Henry is a player skilled at seducing women. But when this veterinarian meets Lucy, a girl with a quirky problem when it comes to total recall, he realizes it's possible to fall in love all over again…and again, and again. That's because the delightful Lucy has no short-term memory, so Henry must woo her day after day until he finally sweeps her off her feet.",61.437585999999996,6.6,2105,Adam Sandler Drew Barrymore Rob Schneider Sean Astin Lusia Strus,Peter Segal,"['Daniel Lupi', 'Jay Roach', 'Michael Ewing']",,['Teddy Castellucci'],['Jack Green'],['United States of America'],"['Anonymous Content', 'Flower Films (II)', 'Happy Madison Productions', 'Columbia Pictures Corporation']",['English']
47,54,13000000,Music Drama,3682,new york sex nightclub money drug,"Shane, a Jersey boy with big dreams, crosses the river in hopes of finding a more exciting life at Studio 54. When Steve Rubell, the mastermind behind the infamous disco, plucks Shane from the sea of faces clamoring to get inside his club, Shane not only gets his foot in the door, but lands a coveted job behind the bar – and a front-row seat at the most legendary party on the planet.",11.880899000000001,5.5,135,Ryan Phillippe Salma Hayek Breckin Meyer Mike Myers Neve Campbell,Mark Christopher,"['Bob Weinstein', 'Don Carmody', 'Harvey Weinstein', 'Bobby Cohen']",['Mark Christopher'],['Marco Beltrami'],['Alexander Gruszynski'],['United States of America'],"['FilmColony', 'Redeemable Features', 'Dollface', 'Miramax']",['English']
48,55 Days at Peking,17000000,Action Drama History,27759,siege epic beijing,"Diplomats, soldiers and other representatives of a dozen nations fend off the siege of the International Compound in Peking during the 1900 Boxer Rebellion. The disparate interests unite for survival despite competing factions, overwhelming odds, delayed relief and tacit support of the Boxers by the Empress of China and her generals.",3.3210949999999997,6.3,36,Charlton Heston Ava Gardner David Niven Burt Kwouk Flora Robson,Nicholas Ray,,,['Dimitri Tiomkin'],['Jack Hildyard'],['United States of America'],"['Allied Artists Pictures', 'Samuel Bronston Productions']",['English']
49,5 Days of War,20000000,War Drama,50601,journalist interpreter georgia europe war zone,"An American journalist and his cameraman are caught in the combat zone during the first Russian airstrikes against Georgia. Rescuing Tatia, a young Georgian schoolteacher separated from her family during the attack, the two reporters agree to help reunite her with her family in exchange for serving as their interpreter. As the three attempt to escape to safety, they witness--and document--the devastation from the full-scale crossfire and cold-blooded murder of innocent civilians.",5.727602,5.8,62,Rupert Friend Val Kilmer Andy Garc\u00eda Dean Cain Emmanuelle Chriqui,Renny Harlin,,,,,['United States of America'],"['Midnight Sun Pictures', 'Dispictures', 'Rex Media', 'Georgia International Films']","['ქართული', 'English']"
50,88 Minutes,30000000,Crime Mystery Thriller,3489,fbi professor ladies' man medical examiner serial killer,"""88 Minutes"" focuses on a college professor (Pacino) who moonlights as a forensic psychiatrist for the FBI and receives a death threat claiming he has only 88 minutes to live.",16.883429,5.7,313,Al Pacino Alicia Witt Leelee Sobieski Amy Brenneman William Forsythe,Jon Avnet,,,['Ed Shearmur'],['Denis Lenoir'],['United States of America'],"['TriStar Pictures', 'Brightlight Pictures', 'Nu Image Entertainment']",['English']
51,8 Mile,41000000,Drama,65,individual street gang adolescence rap music hip-hop,"The setting is Detroit in 1995. The city is divided by 8 Mile, a road that splits the town in half along racial lines. A young white rapper, Jimmy ""B-Rabbit"" Smith Jr. summons strength within himself to cross over these arbitrary boundaries to fulfill his dream of success in hip hop. With his pal Future and the three one third in place, all he has to do is not choke.",32.798571,6.8,1626,Eminem Mekhi Phifer Brittany Murphy Kim Basinger Michael Shannon,Curtis Hanson,"['Paul Rosenberg', 'Gregory Goodman', 'James Whitaker']",,,['Rodrigo Prieto'],['United States of America'],"['Imagine Entertainment', 'Mikona Productions GmbH & Co. KG']",['English']
52,8MM,40000000,Thriller Crime Mystery,8224,pornography porn actor loss of daughter child pornography private investigator,"A small, seemingly innocuous plastic reel of film leads surveillance specialist Tom Welles down an increasingly dark and frightening path. With the help of the streetwise Max, he relentlessly follows a bizarre trail of evidence to determine the fate of a complete stranger. As his work turns into obsession, he drifts farther and farther away from his wife, family and simple life as a small-town PI.",25.580272,6.1,474,Nicolas Cage Joaquin Phoenix James Gandolfini Chris Bauer Anthony Heald,Joel Schumacher,['Joseph M. Caracciolo'],,['Mychael Danna'],['Robert Elswit'],['United States of America'],"['Columbia Pictures Corporation', 'Global Entertainment Productions GmbH & Company Medien KG', 'Hofflund/Polone']",['English']
53,9,30000000,Action Adventure Animation Science Fiction Thriller,12244,man vs machine hope post-apocalyptic dystopia friendship,"When 9 first comes to life, he finds himself in a post-apocalyptic world. All humans are gone, and it is only by chance that he discovers a small community of others like him taking refuge from fearsome machines that roam the earth intent on their extinction. Despite being the neophyte of the group, 9 convinces the others that hiding will do them no good.",55.806402,6.6,1262,Christopher Plummer Martin Landau John C. Reilly Crispin Glover Jennifer Connelly,Shane Acker,,,['Danny Elfman'],,['United States of America'],"['Starz Animation', 'Arc Productions', 'Tim Burton Productions', 'Focus Films', 'Relativity Media']",['English']
54,90 Minutes in Heaven,5000000,Drama,343795,hospital church,"A man involved in a horrific car crash is pronounced dead, only to come back to life an hour and a half later, claiming to have seen Heaven.",3.9437059999999997,5.4,40,Kate Bosworth Hayden Christensen Hudson Meek Bobby Batson Elizabeth Hunter,Michael Polish,,,,['M. David Mullen'],['United States of America'],"['Emmett/Furla Films', 'Giving Films']","['English', 'Português']"
55,Abandon,25000000,Drama Mystery Thriller,15992,alcohol detective dancer nightmare college,"A psychological thriller about a senior at one of America's most prestigious universities. Under enormous pressure to complete her thesis and earn a top job at one of the world's most competitive consulting firms, Katie is still coping with the sudden unexplained disappearance of her first love two years prior. As the investigation continues, Katie is forced to choose between past passions and new possibilities, even as new facts are uncovered.",3.888776,4.6,45,Katie Holmes Benjamin Bratt Charlie Hunnam Zooey Deschanel Fred Ward,Stephen Gaghan,['Richard Vane'],['Stephen Gaghan'],,,"['Australia', 'United States of America']","['Touchstone Pictures', 'Paramount Pictures', 'Spyglass Entertainment']","['Italiano', 'English']"
56,Abduction,35000000,Thriller Action Mystery,59965,cia airport hero fight kidnapping,A young man sets out to uncover the truth about his life after finding his baby photo on a missing persons website.,19.893646,5.6,961,Taylor Lautner Lily Collins Alfred Molina Jason Isaacs Maria Bello,John Singleton,,['Shawn Christensen'],['Ed Shearmur'],['Peter Menzies Jr.'],['United States of America'],"['Gotham Group', 'Mango Farms', 'Lions Gate Films', 'Vertigo Entertainment', 'Tailor Made', 'Quick Six Entertainment']",['English']
57,A Beautiful Mind,60000000,Drama Romance,453,individual schizophrenia massachusetts love of one's life intelligence,"At Princeton University, John Nash struggles to make a worthwhile contribution to serve as his legacy to the world of mathematics. He finally makes a revolutionary breakthrough that will eventually earn him the Nobel Prize. After graduate school he turns to teaching, becoming romantically involved with his student Alicia. Meanwhile the government asks his help with breaking Soviet codes, which soon gets him involved in a terrifying conspiracy plot. Nash grows more and more paranoid until a discovery that turns his entire world upside down. Now it is only with Alicia's help that he will be able to recover his mental strength and regain his status as the great mathematician we know him as today..",59.248437,7.7,3009,Russell Crowe Ed Harris Jennifer Connelly Christopher Plummer Paul Bettany,Ron Howard,"['Louisa Velis', ""Aldric La'Auli Porter"", 'Todd Hallowell', 'Karen Kehela Sherwood']",,['James Horner'],['Roger Deakins'],['United States of America'],"['Imagine Entertainment', 'Universal Pictures', 'DreamWorks SKG']",['English']
58,A Better Life,10000000,Drama,55720,california garden immigrant truck illegal immigrant,A gardener in East L.A. struggles to keep his son away from gangs and immigration agents while traveling across town to perform landscaping work for the city's wealthy landowners.,4.123533,7.0,54,Demi\u00e1n Bichir Jos\u00e9 Juli\u00e1n Chelsea Rendon Dolores Heredia Joaqu\u00edn Cosio,Chris Weitz,['Tony Thomas'],,['Alexandre Desplat'],['Javier Aguirresarobe'],['United States of America'],"['Lime Orchard Productions', 'Summit Entertainment', 'Witt/Thomas Productions', 'Depth of Field', 'McLaughlin Films']","['Español', 'English']"
59,About a Boy,27000000,Drama Comedy Romance,245,london england rock and roll single parent rap music bachelor,"Will Freeman is a hip Londoner who one day realizes that his friends are all involved with the responsibilities of married life and that leaves him alone in the cold. Passing himself off as a single father, he starts to meet a string of single mums, confident in his ability to leave them behind when they start to ask for a commitment. But Will's hope of a continued bachelorhood is interrupted when he meets 12-year old Marcus, in many ways his complete opposite.",28.22798400000001,6.6,607,Hugh Grant Nicholas Hoult Toni Collette Rachel Weisz Sharon Small,Chris Weitz,,,['Badly Drawn Boy'],['Remi Adefarasin'],"['United Kingdom', 'United States of America']",['Universal Pictures'],['English']
